series,time_idx,carbon_Yield,open_Yield,high_Yield,low_Yield,volume_Yield,stoxx_Yield,gas_Yield,oil_Yield,coal_Yield,baseload_Yield,pos_Yield,neg_Yield,trends_Yield,pos_s_Yield,neg_s_Yield,trends_s_Yield
0,0,-2.207726899,1.646004542,-1.816101467,-0.544630696,2.371652662,-0.350438406,-9.578127477,4.796028473,-6.559728249,-7.097671796,0,0,0,-28.88904711,64.78473272,0.940620142
0,1,2.030526616,0.059347183,0.147688699,0.181873345,-109.0830148,1.81393966,-2.000627632,1.297515886,-1.006589993,1.168425863,0,0,0,24.50743556,-48.32055885,-34.12242737
0,2,3.314256828,1.003550335,3.252319171,3.07165941,100.0973819,0.295057996,9.247329847,0.147221226,3.592285377,5.740317103,0,0,0,34.49426748,112.6153771,69.86208369
0,3,0.484953168,3.350010057,0.995033085,1.457751762,31.29998804,0.294189965,4.395756933,2.917666416,2.812916772,4.709576789,0,0,0,-170.273489,-175.656571,-72.27559176
0,4,-1.087278236,0.226950452,0.14134278,-0.260831911,-37.46934494,-0.466201311,8.841095734,-0.591134726,0,2.053460244,-36.3158733,-13.8091364,-2.469261259,183.3950435,117.5558885,27.02312603
0,5,0.344629864,-1.974595562,0.535287938,-0.058055154,17.47169574,0.024591172,15.51844052,1.639380978,2.877896455,4.577260442,0,0,0,-75.67803608,-1.363646443,21.9376192
0,6,-2.908872926,0.375018469,-2.101156232,-3.276078724,41.81075015,0.171969088,-17.25285187,-0.923302014,-0.497690327,-7.064639284,0,0,0,79.75228575,-21.13420788,-8.816948429
0,7,-0.354820006,-2.803103236,-2.557535503,-1.025340708,-20.57084895,0.660552861,-3.133293494,0.640115984,-0.357015731,-2.198293322,0,0,0,-57.39777024,16.89387154,-22.82701997
0,8,-5.479154883,-0.415430865,-1.005925642,-3.391200422,7.718963869,-1.029420855,-6.206072774,-2.367398941,-1.877311451,-4.353450502,0,0,0,10.5996678,35.2832764,22.9302227
0,9,-0.376175992,-5.500928446,-3.387079144,-1.040198504,-36.89954283,0.27063616,-7.866763555,-0.637234746,-1.987551625,0,38.25508486,-17.53985924,0,-24.6667883,-28.64176226,-21.62707056
0,10,4.483403601,0.875826681,2.4910158,1.57186512,-5.95920972,-0.19675363,5.168512428,2.078701146,0.37105794,-2.348904234,0,0,0,-22.35643512,-81.20171351,-19.62215144
0,11,-0.542006747,4.20793787,1.518564242,2.950429131,-48.77032063,0.68695069,-0.572868505,0.321486257,0,1.142194379,0,0,0,86.59078027,135.1953923,50.74436105
0,12,3.55909451,-1.807822661,1.670368507,-0.577070698,17.03453657,0.171002851,-1.526211538,0.03565698,0.074046653,1.66994172,0,0,0,-70.04032364,-58.87868208,-4.128503001
0,13,0.378072284,4.110167569,0.116177765,2.823010288,51.56333253,-0.857953541,6.136263307,-1.237572965,-0.074046653,1.205871632,0,0,0,12.24254143,17.53135343,-9.851462846
